Date,DAX,SPY,BAC,JNJ,AAPL,VWAGY
2017-02-24,11804.030273,217.43396,21.987385,108.982384,32.345459,14.546312
2017-02-27,11822.669922,217.773788,22.295912,108.689331,32.409355,14.627151
2017-02-28,11834.410156,217.186005,22.395735,108.520607,32.423565,14.432187
2017-03-01,12067.19043,220.226028,23.210373,109.985779,33.086281,14.727012
2017-03-02,12059.570313,218.839172,22.964611,109.78154,32.889843,14.703236
2017-03-03,12027.360352,218.976974,23.15576,109.92363,33.083912,14.841137
2017-03-06,11958.400391,218.32489,22.982819,109.852585,32.979778,14.669949
2017-03-07,11966.139648,217.672775,22.946413,109.959145,33.022381,14.672326
2017-03-08,11967.30957,217.268616,22.99192,110.198898,32.899303,14.527291
2017-03-09,11978.389648,217.544144,23.073841,111.84166,32.82357,14.417921
2017-03-10,11963.179688,218.306473,23.037432,112.072548,32.93243,14.584354
2017-03-13,11990.030273,218.416687,23.028332,112.489906,32.946644,14.77932
2017-03-14,11988.790039,217.580887,23.046535,112.818459,32.896935,14.59862
2017-03-15,12009.870117,219.463745,22.919106,114.514503,33.244862,14.641418
2017-03-16,12083.179688,219.032043,22.955511,114.070511,33.299305,14.691348
2017-03-17,12095.240234,218.647385,22.627832,113.715317,33.133621,14.40841
2017-03-20,12052.900391,218.407562,22.24555,113.724205,33.481556,14.337081
2017-03-21,11962.129883,215.603348,20.953053,112.996063,33.098114,14.108829
2017-03-22,11904.120117,216.110672,20.880234,112.116951,33.472084,14.40841
2017-03-23,12039.679688,215.880051,20.99856,111.797264,33.353737,14.317584
2017-03-24,12064.269531,215.723267,21.044077,111.424316,33.287468,14.322816
2017-03-27,11996.070313,215.501862,20.962152,111.708458,33.344276,14.40841
2017-03-28,12149.419922,217.070023,21.371748,111.584167,34.0354,14.541557
2017-03-29,12203.0,217.272964,21.253422,110.927048,34.111126,14.455962
2017-03-30,12256.429688,217.964783,21.726728,110.696167,34.066158,14.339459
2017-03-31,12312.870117,217.457443,21.471869,110.598488,34.002254,14.260998
2017-04-03,12257.200195,217.079239,21.471869,110.722816,34.011723,14.251486
2017-04-04,12282.339844,217.217621,21.335339,110.713943,34.264988,14.099319
2017-04-05,12217.540039,216.571884,21.089582,110.820503,34.087463,13.932885
2017-04-06,12230.889648,217.180679,21.171505,111.042473,34.002254,13.861557
2017-04-07,12225.05957,216.95932,21.080479,110.927048,33.926525,13.818759
2017-04-10,12200.519531,217.08847,20.953053,110.41201,33.88628,14.075543
2017-04-11,12139.349609,216.830154,20.862028,110.305443,33.521793,13.970927
2017-04-12,12154.700195,215.880051,20.616272,111.353287,33.562027,14.023234
2017-04-13,12109.0,214.477936,20.334108,110.98922,33.384514,13.861557
2017-04-18,12000.44043,215.732483,20.670887,108.174301,33.42001,14.436466
2017-04-19,12016.450195,215.335846,20.698193,107.774712,33.296928,14.703236
2017-04-20,12027.320313,217.08847,20.99856,108.218689,33.713505,14.757446
2017-04-21,12048.570313,216.396606,20.670887,108.12101,33.673267,14.665195
2017-04-24,12454.980469,218.776535,21.50828,109.124443,33.997528,15.150229
2017-04-25,12467.040039,220.049515,21.826851,109.603943,34.208176,15.373727
2017-04-26,12472.799805,219.911133,21.74493,109.674995,34.006989,15.278622
2017-04-27,12443.790039,220.095596,21.526484,109.879227,34.033024,15.131208
2017-04-28,12438.009766,219.615967,21.24432,109.639473,33.999893,15.292887
2017-05-02,12507.900391,220.252441,21.417265,109.843697,34.913494,15.311909
2017-05-03,12527.839844,219.984955,21.635706,109.515144,34.806984,15.131208
2017-05-04,12647.780273,220.243225,21.708521,110.065681,34.681557,15.33093
2017-05-05,12716.889648,221.110275,21.608406,109.674995,35.256687,15.525895
2017-05-08,12694.549805,221.07341,21.808645,109.444107,36.215271,15.426033
2017-05-09,12749.120117,220.870483,21.826851,109.4086,36.447224,15.242957
2017-05-10,12757.459961,221.267151,21.98159,109.053406,36.274441,15.202537
2017-05-11,12711.05957,220.815155,21.908768,109.399712,36.58815,15.221558
2017-05-12,12770.410156,220.446167,21.845053,109.790421,37.099125,15.288132
